,index,isp,ik,ib,1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,5d,6s,6p,sum,EF_PBE,EF_HSE,eig_PBE,eig_HSE,eigshift(eV)
0,0,0,0,0,0.0000,0.3670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,0.0100,0.0000,0.0000,0.0000,0.0000,0.3950,-18.41540667,-20.09398316,-14.40804584,-16.85816444,-2.45011860
1,1,0,0,1,0.0000,0.3920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0000,0.0000,0.4040,-17.83132092,-19.47307497,-13.82396009,-16.23725625,-2.41329616
2,2,0,0,2,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.1850,0.0320,0.0000,0.0000,0.0000,0.0000,0.3770,-6.35900887,-6.94428797,-2.35164804,-3.70846925,-1.35682121
3,3,0,0,3,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0030,0.0000,0.0000,0.0000,0.0000,0.2430,-6.35900268,-6.94428594,-2.35164185,-3.70846722,-1.35682537
4,4,0,0,4,0.0000,0.0000,0.1590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.2290,-6.35899718,-6.94428440,-2.35163635,-3.70846568,-1.35682933
5,5,0,0,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1080,0.0470,0.0000,0.0000,0.0000,0.0000,0.1550,-4.27110209,-4.71037075,-0.26374126,-1.47455203,-1.21081077
6,6,0,0,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2180,0.0000,0.0000,0.0000,0.0000,0.0000,0.2180,-3.99654611,-4.71036853,0.01081472,-1.47454981,-1.48536453
7,7,0,0,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2180,0.0000,0.0000,0.0000,0.0000,0.0000,0.2180,-3.99654607,-4.65112872,0.01081476,-1.41531000,-1.42612476
8,8,0,0,8,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.2420,0.0000,0.0000,0.0000,0.0000,0.0000,0.2440,-3.80155856,-4.44639166,0.20580227,-1.21057294,-1.41637521
9,9,0,0,9,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.2290,0.0010,0.0000,0.0000,0.0000,0.0000,0.2330,-3.80155642,-4.44639119,0.20580441,-1.21057247,-1.41637688
10,10,0,0,10,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.1830,0.0020,0.0000,0.0000,0.0000,0.0000,0.1880,-3.80155500,-4.44639021,0.20580583,-1.21057149,-1.41637732
11,11,0,0,11,0.0000,0.0000,0.3260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0580,0.0000,0.0000,0.0000,0.3840,-3.36523708,-3.66786168,0.64212375,-0.43204296,-1.07416671
12,12,0,0,12,0.0000,0.0000,0.3260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.3370,-3.36523561,-3.66785925,0.64212522,-0.43204053,-1.07416575
13,13,0,0,13,0.0000,0.0000,0.3260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.3310,-3.36523395,-3.57721912,0.64212688,-0.34140040,-0.98352728
14,14,0,0,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2390,0.0000,0.0000,0.0000,0.0000,0.0000,0.2390,-2.99259260,-3.57721885,1.01476823,-0.34140013,-1.35616836
15,15,0,0,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2380,0.0000,0.0000,0.0000,0.0000,0.0000,0.2380,-2.99259249,-3.57721877,1.01476834,-0.34140005,-1.35616839
16,16,0,0,16,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.2990,0.0000,0.0000,0.0000,0.0000,0.0000,0.3030,-2.84071621,-3.45092350,1.16664462,-0.21510478,-1.38174940
