,compound,tot_atoms,pet,ACT_PBE,ACT_HSE,PD_PBE,PD_HSE,bg_PBE,bg_HSE
0,Al1N1,4,0.8058252427184466,0.9176,0.9168,0.0513,0.0512,4.055811100000001,5.37676335
1,Al1N1-rs,2,0.8058252427184466,1.0034,0.8357,0.4200,0.3498,4.42678473,5.78888394
2,Al1N1-zb,2,0.8058252427184466,1.0160,0.9871,0.1817,0.1766,3.30560406,4.53502674
3,Al1P1,2,0.8106796116504854,0.5157,0.5320,0.1768,0.1824,1.6278528600000002,2.30429944
4,Al1Sb1,2,0.8203883495145632,0.2559,0.3342,0.0684,0.0894,1.2193701700000001,1.84370616
5,Ba1O1,2,0.5388349514563107,0.6889,0.8839,0.0874,0.1122,2.10344813,3.60954192
6,Ba1Se1,2,0.529126213592233,0.5305,0.5721,0.0475,0.0512,1.9534669199999999,2.86916935
7,Ba2Sn1O4,7,0.6920943134535367,0.8042,0.7961,0.0737,0.0636,2.4187121499999997,3.99604591
8,Bi2Se3,5,0.9106796116504854,0.3440,0.1943,0.0271,0.0257,0.6445110799999999,1.15369919
9,Ca1Cl2-22904,6,0.7055016181229774,0.5060,0.5066,0.0438,0.0439,5.343459139999999,6.90270939
10,Ca1O1-bn,4,0.5485436893203883,0.6791,0.6877,0.0811,0.0822,3.10866773,4.65731774
11,Ca1O1-na,4,0.5485436893203883,0.6727,0.6854,0.0692,0.0703,3.7700741200000003,5.72705192
12,Ca1O1-rs,2,0.5485436893203883,0.6508,0.6750,0.1112,0.1153,3.6400916399999996,5.57072613
13,Ca1O1-zb,2,0.5485436893203883,0.6535,0.6815,0.1570,0.1638,3.24780162,4.80144808
14,Ca1S1-bn,4,0.5436893203883495,0.6096,0.6483,0.0004,0.0002,2.8292008199999996,4.048667099999999
15,Ca1S1-na,4,0.5436893203883495,0.5435,0.5741,0.0605,0.0639,2.56996096,3.81132365
16,Ca1S1-rs,2,0.5436893203883495,0.5622,0.5593,0.0688,0.0685,2.38109733,3.53720698
17,Ca1S1-zb,2,0.5436893203883495,0.5834,0.6358,0.0973,0.1060,3.6289380999999996,4.64042905
18,Ca1Se1,2,0.5388349514563107,0.5339,0.5663,0.1040,0.1103,2.0795734500000003,3.16432963
19,Ca1Se1-bn,4,0.5388349514563107,0.5637,0.5926,0.0006,0.0010,2.52390281,3.44164512
20,Ca1Se1-na,4,0.5388349514563107,0.4883,0.3586,0.0327,0.0240,2.21929468,3.38442663
