,compound,PBE_bg,HSE_bg
0,Ag2O1,0.28950974,1.11909633
1,Al1As1,1.4979256300000001,2.16210279
2,Al1N1,4.055811100000001,5.40747951
3,Al1N1-rs,4.42678473,5.79794395
4,Al1N1-zb,3.30560406,4.5517959
5,Al1P1,1.6278528600000002,2.33094557
6,Al1Sb1,1.2193701700000001,1.88311688
7,Ba1O1,2.10344813,3.39949799
8,Ba1Se1,1.9534669199999999,2.80973448
9,Ba2Sn1O4,2.4187121499999997,3.90406295
10,Bi2Se3,0.6445110799999999,1.13618765
11,Ca1Cl2-22904,5.343459139999999,6.83620664
12,Ca1O1-bn,3.10866773,4.483584960000001
13,Ca1O1-na,3.7700741200000003,5.46200309
14,Ca1O1-rs,3.6400916399999996,5.31926816
15,Ca1O1-zb,3.24780162,4.6454714
16,Ca1S1-bn,2.8292008199999996,3.95073984
17,Ca1S1-na,2.56996096,3.7032989499999998
18,Ca1S1-rs,2.38109733,3.4484390499999997
19,Ca1S1-zb,3.6289380999999996,4.6189027000000005
20,Ca1Se1,2.0795734500000003,3.06205686
21,Ca1Se1-bn,2.52390281,3.40116232
22,Ca1Se1-na,2.21929468,3.25937628
23,Ca1Se1-zb,3.15623942,4.05685818
24,Ca1Ti1O3-4019,2.1760409,3.50591031
25,Cd1F2,2.9211093499999996,5.02199411
26,Cd1O1-bn,0.8932115599999999,1.1305925300000002
27,Cd1O1-na,0.65752083,0.55413539
28,Cd1O1-rs,0.86940314,0.7579150299999999
29,Cd1O1-wz,1.0500000000000001e-06,1.08175806
30,Cd1O1-zb,0.89158869,0.9737575900000001
31,Cd1S1-na,0.54457842,1.53858691
32,Cd1S1-rs,0.24911236,1.2336346
33,Cd1S1-wz,1.11749589,2.14503973
34,Cd1S1-zb,1.04360915,2.06376937
35,Cd1Se1-na,0.51821783,0.69417785
36,Cd1Se1-wz,0.54642034,1.48433324
37,Cd1Se1-zb,0.49653426,1.42963462
38,Cd1Te1,0.59812916,1.36936715
39,Co1O1-wz,0.029650660000000002,2.2498617
40,Co1O1-zb,0.25225364,2.50412624
41,Cs2Ag1Bi1Br6-1078250,1.5274433600000001,2.3950830599999997
42,Cu1Cl1-1184046,0.56591191,2.38374181
43,Cu1Cl1-1225654,0.5312483800000001,2.3435329
44,Cu1Cl1-22914,0.5321969799999999,2.34509611
45,Cu1Cr1O2,1.39470614,3.29955916
46,Cu1Mn1O2,0.63376029,1.8827470700000002
47,Cu2O1,0.46585339000000003,1.9466474
48,Fe1O1-1279742,0.01580764,2.21397053
49,Fe2O3-19770,0.09438302000000001,2.8432668100000003
50,Ga1N1,1.630654,2.82724958
51,Ga1N1-rs,0.46035874000000004,1.5924606099999998
52,Ga1N1-zb,1.4597707299999998,2.63972187
53,Ga1P1,1.5133873500000001,2.36802925
54,Ge1O2,0.9978022500000001,2.8177236000000003
55,Ge1S1,1.24149514,1.8559923500000002
56,Ge1Se1,0.9237560499999999,1.45517008
57,In1N1,1.0705094,0.47807139
58,In1P1,0.37513403,1.09497481
59,In2Se3,0.31517639,0.89464825
60,K1Cl1-23193,5.04174755,6.3645477900000005
61,Li1Cr1O2,1.71384014,4.8689964
62,Li1F1-1138,8.82664577,11.12035599
63,Li2O1,5.1356873,6.7551102300000005
64,Li3N1,1.0444887299999999,1.95890354
65,Mg1O1-bn,3.28182395,4.867427510000001
66,Mg1O1-na,4.15313371,5.851347619999999
67,Mg1O1-rs,4.48966105,6.20009245
68,Mg1O1-zb,3.48318884,5.08575645
69,Mg1S1-na,3.43254541,4.5309562
70,Mg1S1-rs,2.7512478199999997,3.74431306
71,Mg1S1-wz,3.38164631,4.44720756
72,Mg1S1-zb,3.3737481600000003,4.44097767
73,Mg1Se1-na,2.2526653999999997,3.235747
74,Mg1Se1-rs,1.75312954,2.60946738
75,Mg1Se1-wz,2.55779796,3.53378361
76,Mg1Se1-zb,2.5401249399999997,3.51365326
77,Mg1Te1-bn,0.61517838,1.2866308700000002
78,Mg1Te1-na,1.00141758,1.66622067
79,Mg1Te1-rs,0.42726595,1.04552194
80,Mg1Te1-wz,2.3586109800000004,3.12337025
81,Mg1Te1-zb,2.31954762,3.08414595
82,Mn1O1,0.9413126500000001,2.98305867
83,Mn1O1-wz,0.19310614,2.05825002
84,Mn1O1-zb,0.38595444,1.84178489
85,Mn1O2,0.01923544,1.45779801
86,Mn1S1,0.76548518,2.89611171
87,Mn1S1-na,0.15520651,1.98587921
88,Mn1S1-wzaf1,1.4585192,3.73891749
89,Mn1S1-zb,1.10474775,3.2894457999999998
90,Mn1Se1,0.63110073,2.54271414
91,Mn1Se1-na,0.03882233,2.06334295
92,Mn1Se1-wzaf1,1.49942778,3.39691556
93,Mn1Se1-zb,1.29540922,3.25395882
94,Mo1S2-2815,1.5244887100000002,2.06215767
95,Mo1Se2-1027692,1.38518439,1.95519137
96,Na1Cl1-22862,5.06161462,6.4203741
97,Na2O1,1.97798059,3.35120772
98,Ni1O1,1.0378026,4.5209149
99,Pb1S1,0.47538024999999995,0.9789794199999999
100,Pb1Se1,0.41991078,0.9025424799999999
101,Pb1Te1,0.82581427,1.23446183
102,Si1-149,0.6505855,1.23222797
103,Sn1Te1,0.05025718,0.29720547
104,Sr1Ti1O3-5229,1.6542059199999999,3.00486762
105,Ti1Pb1O3-20459,1.77295021,2.9811844699999996
106,W1O3-19443,0.47874117,1.47332904
107,W1S2-9813,1.67998661,2.30983033
108,Zn1O1-1986,0.61457916,2.2706920999999998
109,Zn1O1-2133,0.71778792,2.39097984
